,url,name,category,price,price_per_kg,amount_kg,last_price_update,is_available,product_menu_url,_pk
2606,https://basalam.com/simazaar/product/9902774,اکالیپتوس، بار امسالی و تازه(100گرمی ),,51500,515000,0.1,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85?page=52,https://basalam.com/simazaar/product/9902774::اکالیپتوس، بار امسالی و تازه(100گرمی )
2607,https://basalam.com/simazaar/product/10008454,گیاه شوید با کیفیت عالی، بار امسالی و تازه(150گرمی),,175450,1169666.66666666,0.15,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85?page=52,https://basalam.com/simazaar/product/10008454::گیاه شوید با کیفیت عالی، بار امسالی و تازه(150گرمی)
2608,https://basalam.com/simazaar/product/10014418,گیاه مورد با کیفیت عالی، بار امسالی و تازه(150گرمی),,106150,707666.666666666,0.15,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85?page=52,https://basalam.com/simazaar/product/10014418::گیاه مورد با کیفیت عالی، بار امسالی و تازه(150گرمی)
2609,https://basalam.com/simazaar/product/10065584,گیاه مرزه با کیفیت عالی، بار امسالی و تازه(500گرمی ),,354500,709000,0.5,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85?page=52,https://basalam.com/simazaar/product/10065584::گیاه مرزه با کیفیت عالی، بار امسالی و تازه(500گرمی )
2610,https://basalam.com/simazaar/product/17562092,گیاه گل بنفشه با کیفیت عالی، بار امسالی و تازه(50گرم),,393500,7870000,0.05,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85?page=50,https://basalam.com/simazaar/product/17562092::گیاه گل بنفشه با کیفیت عالی، بار امسالی و تازه(50گرم)
2611,https://basalam.com/afra_goldankadeh/product/14903840,کود مایع ریشه زا بایو رادیکانت,,54900,457500,0.12,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85?page=56,https://basalam.com/afra_goldankadeh/product/14903840::کود مایع ریشه زا بایو رادیکانت
2612,https://basalam.com/mazrae_khone/product/16396471,جلبک دریایی کود 50 گرمی,,25000,nan,,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85?page=50,https://basalam.com/mazrae_khone/product/16396471::جلبک دریایی کود 50 گرمی
2613,https://basalam.com/abbasico94/product/24957527,سم ساس بدباگ اس انقضا 2028,,1350000,1350000,1.0,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85?page=52,https://basalam.com/abbasico94/product/24957527::سم ساس بدباگ اس انقضا 2028
2614,https://basalam.com/tirafel/product/15337046,کود سیلیپات ایدای نیچر اسپانیا,,1067000,1067000,1.0,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85?page=52,https://basalam.com/tirafel/product/15337046::کود سیلیپات ایدای نیچر اسپانیا
2615,https://basalam.com/tirafel/product/15338054,کود دیسپر کلروفیل جی اس ادن نیم کیلویی,,2574000,5148000,0.5,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85?page=52,https://basalam.com/tirafel/product/15338054::کود دیسپر کلروفیل جی اس ادن نیم کیلویی
2616,https://basalam.com/golden_goldon/product/9210882,سم ابامکتین امولسیون شونده مایع . 100 سی سی,,45000,nan,,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85?page=51,https://basalam.com/golden_goldon/product/9210882::سم ابامکتین امولسیون شونده مایع . 100 سی سی
2617,https://basalam.com/nikobazrir/product/13000969,سم قارچ کش پلاس نیکوبذر (گرم بالا),,49000,4900000,0.01,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85?page=52,https://basalam.com/nikobazrir/product/13000969::سم قارچ کش پلاس نیکوبذر (گرم بالا)
2618,https://basalam.com/saeedgol/product/22236815,کود اسید هیومیک فیروزه,,28000,nan,,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85?page=54,https://basalam.com/saeedgol/product/22236815::کود اسید هیومیک فیروزه
2619,https://basalam.com/saeedgol/product/22236777,کود گلدهی (36-12-12) فیروزه,,28000,nan,,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85?page=54,https://basalam.com/saeedgol/product/22236777::کود گلدهی (36-12-12) فیروزه
2620,https://basalam.com/caseshik/product/21891441,کود سیلیکات کلسیم یا کلسیل,,390000,390000,1.0,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85?page=53,https://basalam.com/caseshik/product/21891441::کود سیلیکات کلسیم یا کلسیل
2621,https://basalam.com/sonnatiteb/product/22149795,گیاه ریش بز (هوم) خشک با کیفیت عالی، بار امسالی و تازه(500گرمی),,189500,379000,0.5,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85?page=54,https://basalam.com/sonnatiteb/product/22149795::گیاه ریش بز (هوم) خشک با کیفیت عالی، بار امسالی و تازه(500گرمی)
